_class,id,headline,title,url,avg_rating
course,473160,Learn web design in 1 hour with 25+ simple-to-use rules and guidelines — tons of amazing web design resources included!,Web Design for Web Developers: Build Beautiful Websites!,/course/web-design-secrets/,4.4616804
course,433798,A Quick and Easy Intro to Python Programming,Introduction To Python Programming,/course/pythonforbeginnersintro/,4.401393
course,5340996,Prepare for your technical interview by going through our coding exercises,Python Interview Preparation Coding Exercises,/course/python-interview-preparation-coding-exercises-c/,3.5961537
course,53600,Learn the basics of Microsoft Excel and become an effective user,Useful Excel for Beginners,/course/useful-excel-for-beginners/,4.5087433
course,5512420,"In just 2 hours supercharge your ChatGPT skills with plugins, the code interpreter, and prompt engineering!","ChatGPT Quick Guide - Prompt Engineering, Plugins, and more!",/course/chatgpt-quick-guide-prompt-engineering-plugins-and-more/,4.5590363
course,24823,Learn to program using the Java programming language,Java Tutorial for Complete Beginners,/course/java-tutorial/,4.373366
course,3633804,"Discover learning best practices, including setting goals, practicing & applying, reflecting, and learning with others.",How to Learn: Effective Approaches for Self-Guided Learning,/course/how-to-learn-effective-approaches-for-self-guided-learning/,4.610211
course,780078,"Learn to quickly connect with crowds of strangers, be better on dates or ace that job interview.",How to speak to anyone & be fearless - in less than 55 min,/course/fearless-public-speaker-bootcamp-by-ricky-mendoza/,4.382979
course,1331946,"Beginners, Zero to Hero. AWS EC2 web server, NodeJS Server, AWS RDS database server, S3, SES & CloudWatch. FREE",Amazon Web Services (AWS) - Zero to Hero,/course/amazon-web-services-aws-v/,4.4081273
course,5354232,Prepare for your technical interview by going through our coding exercises,Java Coding Interview Preparation - Coding Exercises,/course/java-coding-interview-preparation-coding-exercises/,4.3
course,5322038,"Learn AI Tools in just 15 minutes. Start using ChatGPT, Midjourney, Google Bard, Adobe Firefly and DALL-E today!","ChatGPT, Midjourney, Firefly, Bard, DALL-E, AI Crash Course",/course/chatgpt-midjourney-google-bard-dall-e-ai-course/,4.521569
course,797156,7 steps you can use immediately to become more productive and master time management,A Mini Course on Time Management,/course/manageyourtime/,4.393617
course,552672,A step by step introduction to the concept of Databases and Introduction to SQL Querying.,Introduction to Databases and SQL Querying,/course/introduction-to-databases-and-sql-querying/,4.5180326
course,247190,"How to program in the popular (and tricky!) C++ programming language, for complete beginners.",C++ Tutorial for Complete Beginners,/course/free-learn-c-tutorial-beginners/,4.452442
course,4290300,"Learn to set boundaries, protect yourself from energy drains, grounding, engage self-care, balance and energy work Q&A",Energy Protection & Boundaries Practitioner| ACCREDITED,/course/lessons-for-light-workers-healers-counselors-therapists/,4.727891
